,Sample,Plot_Number,Plant,Plate,Well,Plot,C,pH,Pdisp,NH4,NO3,Morphospecies,Treatment,Zone,Percent_Moisture,Lat,Lon,Basel_Diameter_estimated,Half_Tree_Cover,Tree_Height,Trunk_Circumference,PlantSpecies,MYC,PlantFUNCT.group,PlantSpecies.1,MYC.1,PlantFUNCT.group.1,PlantFUNCT.group.2,uniqueID,LeafDryMass,LeafH20Weight,LWC,LDMC,MLA,SLA
74,C12AG,12,AG,1,G03,Con012,3.93,5.4,6.7,35,22.4,OtherGreenShrub,Control,Plateau,1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA,Baccharis magellanica,AM,evergreen shrub,Baccharis magellanica,AM,evergreen shrub,shrub,Con012_OtherGreenShrub,NA,NA,NA,NA,NA,NA
75,C12AE,12,AE,2,D06,Con012,3.93,5.4,6.7,35,22.4,SmallShrub,Control,Plateau,1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA,Empetrum rubrum,ERM,evergreen shrub,Empetrum rubrum,ERM,evergreen shrub,evergreen shrub,Con012_SmallShrub,0.01,0.04,0.000606061,0.000151515,4.226080106,0.422608011
76,C13Y,13,Y,2,G02,Con013,3.02,5.6,8.8,23.8,15.6,FatTall,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,,,,,,,,Con013_FatTall,NA,NA,NA,NA,NA,NA
77,C13B,13,B,1,H02,Con013,3.02,5.6,8.8,23.8,15.6,Grass,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con013_Grass,0.17,0.11,0.018333333,0.028333333,96.53236618,0.567837448
78,C13A,13,A,3,B11,Con013,3.02,5.6,8.8,23.8,15.6,GreenShrub,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con013_GreenShrub,0.01,0.03,0.000410959,0.000136986,12.53576165,1.253576165
79,C13J,13,J,2,A04,Con013,3.02,5.6,8.8,23.8,15.6,RedAloe,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con013_RedAloe,0.26,0.37,0.061666667,0.043333333,192.0461074,0.738638875
80,C13AE,13,AE,2,E11,Con013,3.02,5.6,8.8,23.8,15.6,SmallShrub,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Empetrum rubrum,ERM,evergreen shrub,Empetrum rubrum,ERM,evergreen shrub,evergreen shrub,Con013_SmallShrub,NA,0.04,0.000625,NA,4.449040326,NA
81,C13T,13,T,1,B05,Con013,3.02,5.6,8.8,23.8,15.6,SpikeyRose,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Nassauvia revoluta,AM,flowering plant ,Nassauvia revoluta,AM,flowering plant ,flowering plant ,Con013_SpikeyRose,NA,NA,NA,NA,18.28189765,NA
82,C14B,14,B,2,A01,Con014,1.67,5.9,6.6,28,19.4,Grass,Control,Plateau,4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con014_Grass,0.2,0.17,0.034,0.04,142.3929905,0.711964953
83,C14AG,14,AG,2,H03,Con014,1.67,5.9,6.6,28,19.4,OtherGreenShrub,Control,Plateau,4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA,Baccharis magellanica,AM,evergreen shrub,Baccharis magellanica,AM,evergreen shrub,evergreen shrub,Con014_OtherGreenShrub,0.03,0.07,0.002333333,0.001,20.50368668,0.683456223
84,C14AG,14,AG,2,H03,Con014,1.67,5.9,6.6,28,19.4,OtherGreenShrub,Control,Plateau,4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA,Baccharis magellanica,AM,evergreen shrub,Baccharis magellanica,AM,evergreen shrub,evergreen shrub,Con014_OtherGreenShrub,0.03,0.07,0.003888889,0.001666667,25.37465288,0.845821763
85,C14C,14,C,3,E07,Con014,1.67,5.9,6.6,28,19.4,Rosette,Control,Plateau,4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con014_Rosette,0.07,0.26,0.0104,0.0028,32.27664464,0.461094923
86,C14D,14,D,3,C12,Con014,1.67,5.9,6.6,28,19.4,YellowFlower,Control,Plateau,4.68579235,-41.97177202,-71.46035504,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con014_YellowFlower,0.2,0.39,0.0121875,0.00625,43.43960967,0.217198048
87,C15B,15,B,2,F04,Con015,1.94,5.7,6.5,40.6,23.7,Grass,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con015_Grass,0.14,0.12,0.02,0.023333333,87.40424208,0.624316015
88,C15A,15,A,3,E02,Con015,1.94,5.7,6.5,40.6,23.7,GreenShrub,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con015_GreenShrub,NA,NA,NA,NA,NA,NA
89,C15F,15,F,1,G11,Con015,1.94,5.7,6.5,40.6,23.7,LeafyCushion,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Azorella sp,AM,flowering plant,Azorella sp,AM,flowering plant,flowering plant,Con015_LeafyCushion,0.13,0.26,0.008666667,0.004333333,32.52106674,0.250162052
90,C15AG,15,AG,1,F09,Con015,1.94,5.7,6.5,40.6,23.7,OtherGreenShrub,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Baccharis magellanica,AM,evergreen shrub,Baccharis magellanica,AM,evergreen shrub, shrub,Con015_OtherGreenShrub,0.17,0.29,0.00537037,0.003148148,23.44845564,0.137932092
91,C15J,15,J,2,B04,Con015,1.94,5.7,6.5,40.6,23.7,RedAloe,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con015_RedAloe,0.14,0.12,0.03,0.035,111.1821316,0.794158083
92,C15C,15,C,2,A10,Con015,1.94,5.7,6.5,40.6,23.7,Rosette,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con015_Rosette,0.11,0.34,0.008717949,0.002820513,20.42461273,0.185678298
93,C15G,15,G,2,E10,Con015,1.94,5.7,6.5,40.6,23.7,SpikeyGreen,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Perezia piliffera /fonkii?,AM,flowering plant ,Perezia piliffera /fonkii?,AM,flowering plant ,flowering plant ,Con015_SpikeyGreen,0.08,0.16,0.017777778,0.008888889,19.63995021,0.245499378
94,C15T,15,T,1,B01,Con015,1.94,5.7,6.5,40.6,23.7,SpikeyRose,Control,Plateau,3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA,Nassauvia revoluta,AM,flowering plant ,Nassauvia revoluta,AM,flowering plant ,flowering plant ,Con015_SpikeyRose,0.05,0.03,0.001764706,0.002941176,9.243878534,0.184877571
95,P1E,1,E,2,B08,Pine001,1.96,5.5,5.1,63,9.7,Clover,Pine,Plateau,3.038704669,-41.97056302,-71.46467004,29.6,182,395,93,Oxalis adenophylla,AM,flowering plant ,Oxalis adenophylla,AM,flowering plant ,flowering plant ,Pine001_Clover,0.01,0.15,0.01,0.000666667,24.28845,2.428845
96,P1B,1,B,3,F08,Pine001,1.96,5.5,5.1,63,9.7,Grass,Pine,Plateau,3.038704669,-41.97056302,-71.46467004,29.6,182,395,93,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine001_Grass,0.12,0.17,0.017,0.012,39.03173854,0.325264488
97,P1A,1,A,3,C01,Pine001,1.96,5.5,5.1,63,9.7,GreenShrub,Pine,Plateau,3.038704669,-41.97056302,-71.46467004,29.6,182,395,93,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine001_GreenShrub,0.08,0.1,0.004761905,0.003809524,24.21270287,0.302658786
98,P1F,1,F,2,F10,Pine001,1.96,5.5,5.1,63,9.7,LeafyCushion,Pine,Plateau,3.038704669,-41.97056302,-71.46467004,29.6,182,395,93,Azorella sp,AM,flowering plant,Azorella sp,AM,flowering plant,flowering plant,Pine001_LeafyCushion,0.07,0.1,0.005,0.0035,21.55093334,0.307870476
99,P1C,1,C,1,G04,Pine001,1.96,5.5,5.1,63,9.7,Rosette,Pine,Plateau,3.038704669,-41.97056302,-71.46467004,29.6,182,395,93,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine001_Rosette,0.01,0.08,0.008,0.001,10.4110066,1.04110066
100,P1G,1,G,1,G08,Pine001,1.96,5.5,5.1,63,9.7,SpikeyGreen,Pine,Plateau,3.038704669,-41.97056302,-71.46467004,29.6,182,395,93,Perezia piliffera /fonkii?,AM,flowering plant ,Perezia piliffera /fonkii?,AM,flowering plant ,flowering plant ,Pine001_SpikeyGreen,0.11,0.11,0.006875,0.006875,34.36648522,0.312422593
101,P2E,2,E,1,B12,Pine002,1.26,5.7,5.4,36.4,25.2,Clover,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Oxalis adenophylla,AM,flowering plant ,Oxalis adenophylla,AM,flowering plant ,flowering plant ,Pine002_Clover,0.02,0.13,0.013,0.002,42.04685231,2.102342616
102,P2I,2,I,2,E02,Pine002,1.26,5.7,5.4,36.4,25.2,Dandelion,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Hypochaeris sp,AM_facAM,flowering plant ,Hypochaeris sp,AM_facAM,flowering plant ,flowering plant ,Pine002_Dandelion,0.07,0.26,0.086666667,0.023333333,684.2176456,9.774537794
103,P2B,2,B,3,D10,Pine002,1.26,5.7,5.4,36.4,25.2,Grass,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine002_Grass,NA,NA,NA,NA,NA,NA
104,P2A,2,A,3,H04,Pine002,1.26,5.7,5.4,36.4,25.2,GreenShrub,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine002_GreenShrub,0.04,0.08,0.004,0.002,14.80644354,0.370161089
105,P2J,2,J,1,G02,Pine002,1.26,5.7,5.4,36.4,25.2,RedAloe,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine002_RedAloe,0.31,0.23,0.032857143,0.044285714,332.0787549,1.07122179
106,P2C,2,C,1,B04,Pine002,1.26,5.7,5.4,36.4,25.2,Rosette,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine002_Rosette,0.02,0.07,0.007,0.002,12.90457919,0.645228959
107,P2D,2,D,1,E10,Pine002,1.26,5.7,5.4,36.4,25.2,YellowFlower,Pine,Plateau,4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Pine002_YellowFlower,0.18,0.5,0.026315789,0.009473684,90.9407824,0.505226569
108,P3K,3,K,2,F06,Pine003,0.88,5.7,5.6,36.4,22.4,Grass,Pine,Plateau,2.412493269,-41.96853703,-71.46316004,11,137,279,34.55751919,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine003_Grass,NA,NA,NA,NA,NA,NA
109,P3A,3,A,3,B02,Pine003,0.88,5.7,5.6,36.4,22.4,GreenShrub,Pine,Plateau,2.412493269,-41.96853703,-71.46316004,11,137,279,34.55751919,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine003_GreenShrub,0.03,0.05,0.002380952,0.001428571,7.773803002,0.259126767
110,P4B,4,B,3,E03,Pine004,1.99,5.7,6.6,32.2,5.6,Grass,Pine,Plateau,2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine004_Grass,0.19,0.07,0.006363636,0.017272727,76.60771717,0.403198511
111,P4A,4,A,3,A08,Pine004,1.99,5.7,6.6,32.2,5.6,GreenShrub,Pine,Plateau,2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine004_GreenShrub,0.03,0.05,0.001470588,0.000882353,4.706140322,0.156871344
112,P4J,4,J,1,D10,Pine004,1.99,5.7,6.6,32.2,5.6,RedAloe,Pine,Plateau,2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine004_RedAloe,0.41,NA,NA,0.058571429,803.2140015,1.95905854
113,P4J,4,J,1,D10,Pine004,1.99,5.7,6.6,32.2,5.6,RedAloe,Pine,Plateau,2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine004_RedAloe,0.41,NA,NA,0.058571429,794.898818,1.938777605
114,P4H,4,H,1,D12,Pine004,1.99,5.7,6.6,32.2,5.6,SpikeyCushion,Pine,Plateau,2.5352409,-41.96744503,-71.46401399,24,162,300,75.39822369,Mulinum echinus,AM,dense spiny shrub,Mulinum echinus,AM,dense spiny shrub, shrub,Pine004_SpikeyCushion,NA,NA,NA,NA,NA,NA
115,P5B.1,5,B,2,G03,Pine005,2.46,5.8,5,37.8,9.6,Grass,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine005_Grass,0.13,0.01,0.001,0.013,142.1675657,1.09359666
116,P5B.1,5,B,2,G03,Pine005,2.46,5.8,5,37.8,9.6,Grass,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine005_Grass,0.13,0.01,0.002,0.026,179.7982788,1.383063683
117,P5B,5,B,3,A12,Pine005,2.46,5.8,5,37.8,9.6,Grass,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine005_Grass,0.13,0.01,0.001,0.013,142.1675657,1.09359666
118,P5B,5,B,3,A12,Pine005,2.46,5.8,5,37.8,9.6,Grass,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine005_Grass,0.13,0.01,0.002,0.026,179.7982788,1.383063683
119,P5A,5,A,3,G11,Pine005,2.46,5.8,5,37.8,9.6,GreenShrub,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine005_GreenShrub,0.05,0.12,0.005,0.002083333,22.42808353,0.448561671
120,P5J,5,J,4,D07,Pine005,2.46,5.8,5,37.8,9.6,RedAloe,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine005_RedAloe,0.13,0.17,0.034,0.026,405.9345753,3.122573656
121,P5C,5,C,2,E07,Pine005,2.46,5.8,5,37.8,9.6,Rosette,Pine,Plateau,5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine005_Rosette,NA,NA,NA,NA,NA,NA
122,P6E,6,E,1,A02,Pine006,2.08,5.8,6.7,43.4,19.5,Clover,Pine,Plateau,NA,-41.96749298,-71.46145298,14,93,250,43.98229715,Oxalis adenophylla,AM,flowering plant ,Oxalis adenophylla,AM,flowering plant ,flowering plant ,Pine006_Clover,NA,NA,NA,NA,NA,NA
123,P6B,6,B,3,G06,Pine006,2.08,5.8,6.7,43.4,19.5,Grass,Pine,Plateau,NA,-41.96749298,-71.46145298,14,93,250,43.98229715,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine006_Grass,0.36,0.32,0.053333333,0.06,400.9793794,1.113831609
124,P6A,6,A,3,E09,Pine006,2.08,5.8,6.7,43.4,19.5,GreenShrub,Pine,Plateau,NA,-41.96749298,-71.46145298,14,93,250,43.98229715,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine006_GreenShrub,NA,NA,NA,NA,17.34975514,NA
125,P6J,6,J,2,B10,Pine006,2.08,5.8,6.7,43.4,19.5,RedAloe,Pine,Plateau,NA,-41.96749298,-71.46145298,14,93,250,43.98229715,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine006_RedAloe,0.22,0.32,0.053333333,0.036666667,454.3151665,2.065068939
126,P6C,6,C,1,D03,Pine006,2.08,5.8,6.7,43.4,19.5,Rosette,Pine,Plateau,NA,-41.96749298,-71.46145298,14,93,250,43.98229715,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine006_Rosette,NA,NA,NA,NA,NA,NA
127,P6D,6,D,1,F12,Pine006,2.08,5.8,6.7,43.4,19.5,YellowFlower,Pine,Plateau,NA,-41.96749298,-71.46145298,14,93,250,43.98229715,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Pine006_YellowFlower,NA,NA,NA,NA,NA,NA
128,P7N,7,N,4,E08,Pine007,1.59,5.7,6.5,42,23.7,Arugula,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Hypochaeris sp,AM_facAM,flowering plant ,Hypochaeris sp,AM_facAM,flowering plant ,flowering plant ,Pine007_Arugula,NA,NA,NA,NA,NA,NA
129,P7B,7,B,3,B01,Pine007,1.59,5.7,6.5,42,23.7,Grass,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine007_Grass,0.23,0.23,0.025555556,0.025555556,135.4432793,0.588883823
130,P7A,7,A,3,D07,Pine007,1.59,5.7,6.5,42,23.7,GreenShrub,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine007_GreenShrub,0.15,0.22,0.009166667,0.00625,11.32865071,0.075524338
131,P7J,7,J,2,D07,Pine007,1.59,5.7,6.5,42,23.7,RedAloe,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine007_RedAloe,0.19,0.12,0.03,0.0475,309.7544991,1.630286837
132,P7C,7,C,2,G04,Pine007,1.59,5.7,6.5,42,23.7,Rosette,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine007_Rosette,NA,NA,NA,NA,NA,NA
133,P7O,7,O,2,G09,Pine007,1.59,5.7,6.5,42,23.7,TallRed,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Euphrasia meiantha,NM,flowering plant,Euphrasia meiantha,NM,flowering plant,flowering plant,Pine007_TallRed,NA,NA,NA,NA,NA,NA
134,P7O,7,O,3,D03,Pine007,1.59,5.7,6.5,42,23.7,TallRed,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Euphrasia meiantha,NM,flowering plant,Euphrasia meiantha,NM,flowering plant,flowering plant,Pine007_TallRed,NA,NA,NA,NA,NA,NA
135,P7D,7,D,1,C08,Pine007,1.59,5.7,6.5,42,23.7,YellowFlower,Pine,Plateau,5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Pine007_YellowFlower,NA,NA,NA,NA,NA,NA
136,P8Q,8,Q,1,E12,Pine008,1.24,5.4,5.3,15.4,15.2,FatGreen,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Perezia bellidifolia,AM,flowering plant,Perezia bellidifolia,AM,flowering plant,flowering plant,Pine008_FatGreen,1.54,0.44,0.088,0.308,362.7780992,0.235570194
137,P8P,8,P,3,B07,Pine008,1.24,5.4,5.3,15.4,15.2,FuzzyLeaf,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Erigeron sp,AM,flowering plant,Erigeron sp,AM,flowering plant,flowering plant,Pine008_FuzzyLeaf,0.01,0.04,0.008,0.002,48.70986248,4.870986248
138,P8B,8,B,3,C02,Pine008,1.24,5.4,5.3,15.4,15.2,Grass,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine008_Grass,0.16,0.17,0.02125,0.02,149.3926395,0.933703997
139,P8A,8,A,3,F02,Pine008,1.24,5.4,5.3,15.4,15.2,GreenShrub,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Pine008_GreenShrub,0.08,0.12,0.004285714,0.002857143,21.88125374,0.273515672
140,P8J,8,J,2,B07,Pine008,1.24,5.4,5.3,15.4,15.2,RedAloe,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Poa sp,AM,grass,Poa sp,AM,grass,grass,Pine008_RedAloe,0.07,0.12,0.024,0.014,453.7235059,6.48176437
141,P8C,8,C,2,G07,Pine008,1.24,5.4,5.3,15.4,15.2,Rosette,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine008_Rosette,0.04,0.1,0.007142857,0.002857143,24.9941511,0.624853777
142,P8C,8,C,2,G07,Pine008,1.24,5.4,5.3,15.4,15.2,Rosette,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Pine008_Rosette,0.04,0.1,0.007142857,0.002857143,26.50640845,0.662660211
143,P8D,8,D,3,B09,Pine008,1.24,5.4,5.3,15.4,15.2,YellowFlower,Pine,Plateau,5.765694773,-41.96754101,-71.45763896,13,154,446,40.8407045,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Pine008_YellowFlower,0.11,0.11,0.007333333,0.007333333,34.73520915,0.315774629
144,P9P,9,P,3,F05,Pine009,1.48,5.7,5.5,25.2,21,FuzzyLeaf,Pine,Plateau,4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511,Erigeron sp,AM,flowering plant,Erigeron sp,AM,flowering plant,flowering plant,Pine009_FuzzyLeaf,0.01,0.06,0.005454545,0.000909091,49.2139145,4.92139145
145,P9B,9,B,3,C09,Pine009,1.48,5.7,5.5,25.2,21,Grass,Pine,Plateau,4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Pine009_Grass,0.15,0.15,0.0375,0.0375,182.6522551,1.217681701
