"Treatment","Sample","plotNumber","Zone","underscore","Morphospecies","uniqueID","PlantSpecies","MYC","PlantFUNCT.group"
"Pine","Pine009",9,"Plateau","_","SmallShrub","Pine009_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine009",9,"Plateau","_","SpikeyGreen","Pine009_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine010",10,"Plateau","_","Grass","Pine010_Grass","Festuca sp","AM","grass"
"Pine","Pine010",10,"Plateau","_","GreenShrub","Pine010_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine010",10,"Plateau","_","RedAloe","Pine010_RedAloe","Poa sp","AM","grass"
"Pine","Pine010",10,"Plateau","_","SmallShrub","Pine010_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine010",10,"Plateau","_","TallRed","Pine010_TallRed","Euphrasia meiantha","NM","flowering plant"
"Pine","Pine011",11,"Plateau","_","Grass","Pine011_Grass","Festuca sp","AM","grass"
"Pine","Pine011",11,"Plateau","_","GreenShrub","Pine011_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine011",11,"Plateau","_","LeafyCushion","Pine011_LeafyCushion","Azorella sp","AM","flowering plant"
"Pine","Pine011",11,"Plateau","_","Mistery","Pine011_Mistery","Belloa chilensis","AM","flowering plant"
"Pine","Pine011",11,"Plateau","_","RedAloe","Pine011_RedAloe","Poa sp","AM","grass"
"Pine","Pine011",11,"Plateau","_","Rosette","Pine011_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine012",12,"Plateau","_","Cilantro","Pine012_Cilantro","Sanicula graveolens","AM","flowering plant"
"Pine","Pine012",12,"Plateau","_","FatGreen","Pine012_FatGreen","Perezia bellidifolia","AM","flowering plant"
"Pine","Pine012",12,"Plateau","_","Grass","Pine012_Grass","Festuca sp","AM","grass"
"Pine","Pine012",12,"Plateau","_","GreenShrub","Pine012_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine012",12,"Plateau","_","SmallShrub","Pine012_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Pine","Pine012",12,"Plateau","_","SpikeyGreen","Pine012_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Pine","Pine012",12,"Plateau","_","TallSpike","Pine012_TallSpike","","",""
"Pine","Pine012",12,"Plateau","_","YellowFlower","Pine012_YellowFlower","Senecio agyreus","AM","flowering plant"
"Pine","Pine013",13,"Plateau","_","Dandelion","Pine013_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine013",13,"Plateau","_","FuzzyLeaf","Pine013_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Pine","Pine013",13,"Plateau","_","Grass","Pine013_Grass","Festuca sp","AM","grass"
"Pine","Pine013",13,"Plateau","_","GreenShrub","Pine013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine013",13,"Plateau","_","GreenShrub","Pine013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine013",13,"Plateau","_","OtherGreenShrub","Pine013_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Pine","Pine014",14,"Plateau","_","Arugula","Pine014_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine014",14,"Plateau","_","Dandelion","Pine014_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine014",14,"Plateau","_","Grass","Pine014_Grass","Festuca sp","AM","grass"
"Pine","Pine014",14,"Plateau","_","GreenShrub","Pine014_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine014",14,"Plateau","_","LeafyCushion","Pine014_LeafyCushion","Azorella sp","AM","flowering plant"
"Pine","Pine014",14,"Plateau","_","OtherGreenShrub","Pine014_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Pine","Pine014",14,"Plateau","_","RedAloe","Pine014_RedAloe","Poa sp","AM","grass"
"Pine","Pine014",14,"Plateau","_","Rosette","Pine014_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine014",14,"Plateau","_","SpikeyRose","Pine014_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Pine","Pine015",15,"Plateau","_","Dandelion","Pine015_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine015",15,"Plateau","_","FatTall","Pine015_FatTall","","",""
"Pine","Pine015",15,"Plateau","_","Grass","Pine015_Grass","Festuca sp","AM","grass"
"Pine","Pine015",15,"Plateau","_","TallRed","Pine015_TallRed","Euphrasia meiantha","NM","flowering plant"
"Pine","Pine015",15,"Plateau","_","YellowFlower","Pine015_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap001",1,"Plateau","_","Clover","Sap001_Clover","Oxalis adenophylla","AM","flowering plant "
"Sapling","Sap001",1,"Plateau","_","Grass","Sap001_Grass","Festuca sp","AM","grass"
"Sapling","Sap001",1,"Plateau","_","LeafyCushion","Sap001_LeafyCushion","Azorella sp","AM","flowering plant"
"Sapling","Sap001",1,"Plateau","_","NewGreen","Sap001_NewGreen","","",""
"Sapling","Sap001",1,"Plateau","_","Rosette","Sap001_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap001",1,"Plateau","_","SpikeyCushion","Sap001_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Sapling","Sap001",1,"Plateau","_","SpikeyGreen","Sap001_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Clover","Sap002_Clover","Oxalis adenophylla","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Grass","Sap002_Grass","Festuca sp","AM","grass"
"Sapling","Sap002",2,"Plateau","_","GreenShrub","Sap002_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap002",2,"Plateau","_","LeafyCushion","Sap002_LeafyCushion","Azorella sp","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","RedAloe","Sap002_RedAloe","Poa sp","AM","grass"
"Sapling","Sap002",2,"Plateau","_","Rosette","Sap002_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","Rosette","Sap002_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","SpikeyCushion","Sap002_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Sapling","Sap002",2,"Plateau","_","YellowFlower","Sap002_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap003",3,"Plateau","_","Clover","Sap003_Clover","Oxalis adenophylla","AM","flowering plant"
"Sapling","Sap003",3,"Plateau","_","Dandelion","Sap003_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap003",3,"Plateau","_","Grass","Sap003_Grass","Festuca sp","AM","grass"
"Sapling","Sap003",3,"Plateau","_","GreenShrub","Sap003_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap003",20,"Plateau","_","LeafyCushion","Sap003_LeafyCushion","Azorella sp","AM","flowering plant "
"Sapling","Sap003",3,"Plateau","_","Rosette","Sap003_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap004",4,"Plateau","_","Cushion","Sap004_Cushion","Bolax gummifera","AM","flowering plant"
"Sapling","Sap004",4,"Plateau","_","Grass","Sap004_Grass","Festuca sp","AM","grass"
"Sapling","Sap004",4,"Plateau","_","GreenShrub","Sap004_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap004",4,"Plateau","_","GreenShrub","Sap004_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap004",4,"Plateau","_","GreenShrub","Sap004_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap004",4,"Plateau","_","RedAloe","Sap004_RedAloe","Poa sp","AM","grass"
"Sapling","Sap005",5,"Plateau","_","Arugula","Sap005_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap005",5,"Plateau","_","Clover","Sap005_Clover","Oxalis adenophylla","AM","flowering plant"
"Sapling","Sap005",5,"Plateau","_","extraSpikey","Sap005_extraSpikey","","",""
"Sapling","Sap005",5,"Plateau","_","FuzzyLeaf","Sap005_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Sapling","Sap005",5,"Plateau","_","Grass","Sap005_Grass","Festuca sp","AM","grass"
"Sapling","Sap005",5,"Plateau","_","GreenShrub","Sap005_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap005",5,"Plateau","_","GreenShrub","Sap005_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap005",5,"Plateau","_","RedAloe","Sap005_RedAloe","Poa sp","AM","grass"
"Sapling","Sap005",5,"Plateau","_","Rosette","Sap005_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap005",5,"Plateau","_","TallRed","Sap005_TallRed","Euphrasia meiantha","NM","flowering plant"
"Sapling","Sap006",6,"Plateau","_","Arugula","Sap006_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap006",6,"Plateau","_","Clover","Sap006_Clover","Oxalis adenophylla","AM","flowering plant"
"Sapling","Sap006",6,"Plateau","_","FuzzyLeaf","Sap006_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Sapling","Sap006",6,"Plateau","_","Grass","Sap006_Grass","Festuca sp","AM","grass"
"Sapling","Sap006",6,"Plateau","_","GreenShrub","Sap006_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap006",6,"Plateau","_","RedAloe","Sap006_RedAloe","Poa sp","AM","grass"
"Sapling","Sap006",6,"Plateau","_","RedLettuce","Sap006_RedLettuce","","",""
"Sapling","Sap006",6,"Plateau","_","Rosette","Sap006_Rosette","Viola sp","AM","grass"
"Sapling","Sap006",6,"Plateau","_","SpikeyRose","Sap006_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Sapling","Sap006",6,"Plateau","_","YellowFlower","Sap006_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap007",7,"Plateau","_","Arugula","Sap007_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap007",7,"Plateau","_","Cilantro","Sap007_Cilantro","Sanicula graveolens","AM","flowering plant"
"Sapling","Sap007",7,"Plateau","_","Dandelion","Sap007_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap007",7,"Plateau","_","FatGreen","Sap007_FatGreen","Perezia bellidifolia","AM","flowering plant"
"Sapling","Sap007",7,"Plateau","_","FuzzyLeaf","Sap007_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Sapling","Sap007",7,"Plateau","_","Grass","Sap007_Grass","Festuca sp","AM","grass"
"Sapling","Sap007",7,"Plateau","_","GreenShrub","Sap007_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap007",7,"Plateau","_","RedAloe","Sap007_RedAloe","Poa sp","AM","grass"
"Sapling","Sap007",7,"Plateau","_","Rosette","Sap007_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap007",7,"Plateau","_","TallRed","Sap007_TallRed","Euphrasia meiantha","NM","flowering plant"
"Sapling","Sap007",7,"Plateau","_","YellowFlower","Sap007_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap008",8,"Plateau","_","Grass","Sap008_Grass","Festuca sp","AM","grass"
"Sapling","Sap008",8,"Plateau","_","GreenShrub","Sap008_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap008",8,"Plateau","_","Rosette","Sap008_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap008",8,"Plateau","_","SmallShrub","Sap008_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Sapling","Sap008",8,"Plateau","_","SpikeyGreen","Sap008_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Sapling","Sap009",9,"Plateau","_","Grass","Sap009_Grass","Festuca sp","AM","grass"
"Sapling","Sap009",9,"Plateau","_","GreenShrub","Sap009_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap009",9,"Plateau","_","RedAloe","Sap009_RedAloe","Poa sp","AM","grass"
"Sapling","Sap009",9,"Plateau","_","RedLettuce","Sap009_RedLettuce","","",""
"Sapling","Sap009",9,"Plateau","_","Rosette","Sap009_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap010",10,"Plateau","_","Arugula","Sap010_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap010",10,"Plateau","_","GreenShrub","Sap010_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap010",10,"Plateau","_","Rosette","Sap010_Rosette","Viola sp","AM","grass"
"Sapling","Sap010",10,"Plateau","_","SmallShrub","Sap010_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Sapling","Sap010",10,"Plateau","_","SpikeyGreen","Sap010_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant"
"Sapling","Sap010",10,"Plateau","_","YellowFlower","Sap010_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap011",11,"Plateau","_","Cilantro","Sap011_Cilantro","Sanicula graveolens","AM","flowering plant"
"Sapling","Sap011",11,"Plateau","_","Grass","Sap011_Grass","Festuca sp","AM","grass"
"Sapling","Sap011",11,"Plateau","_","GreenShrub","Sap011_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap011",11,"Plateau","_","RedAloe","Sap011_RedAloe","Poa sp","AM","grass"
"Sapling","Sap011",11,"Plateau","_","SmallShrub","Sap011_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Sapling","Sap011",11,"Plateau","_","SpikeyGreen","Sap011_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Sapling","Sap011",11,"Plateau","_","TallRed","Sap011_TallRed","Euphrasia meiantha","NM","flowering plant"
"Sapling","Sap011",11,"Plateau","_","YellowFlower","Sap011_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap012",12,"Plateau","_","Arugula","Sap012_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap012",12,"Plateau","_","Curly","Sap012_Curly","Tristagma nivale","AM","flowering plant "
"Sapling","Sap012",12,"Plateau","_","Dandelion","Sap012_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap012",12,"Plateau","_","GreenShrub","Sap012_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap012",12,"Plateau","_","RedAloe","Sap012_RedAloe","Poa sp","AM","grass"
"Sapling","Sap012",12,"Plateau","_","Rosette","Sap012_Rosette","Viola sp","AM","flowering plant "
"Sapling","Sap012",12,"Plateau","_","SpikeyCushion","Sap012_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Sapling","Sap012",12,"Plateau","_","SpikeyGreen","Sap012_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Sapling","Sap012",12,"Plateau","_","SpikeyRose","Sap012_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Sapling","Sap013",13,"Plateau","_","Arugula","Sap013_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap013",13,"Plateau","_","Dandelion","Sap013_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap013",13,"Plateau","_","Grass","Sap013_Grass","Festuca sp","AM","grass"
"Sapling","Sap013",13,"Plateau","_","GreenShrub","Sap013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap013",13,"Plateau","_","RedAloe","Sap013_RedAloe","Poa sp","AM","grass"
"Sapling","Sap013",13,"Plateau","_","RedAloe","Sap013_RedAloe","Poa sp","AM","grass"
"Sapling","Sap013",13,"Plateau","_","YellowFlower","Sap013_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap014",14,"Plateau","_","Arugula","Sap014_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap014",14,"Plateau","_","Dandelion","Sap014_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap014",14,"Plateau","_","GreenShrub","Sap014_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap014",14,"Plateau","_","Mistery2","Sap014_Mistery2","","",""
"Sapling","Sap014",14,"Plateau","_","NewGreen","Sap014_NewGreen","","",""
"Sapling","Sap014",14,"Plateau","_","SpikeyRose","Sap014_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Sapling","Sap014",14,"Plateau","_","YellowFlower","Sap014_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap015",15,"Plateau","_","Grass","Sap015_Grass","Festuca sp","AM","grass"
"Sapling","Sap015",15,"Plateau","_","GreenShrub","Sap015_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap015",15,"Plateau","_","LeafyCushion","Sap015_LeafyCushion","Azorella sp","AM","flowering plant"
"Sapling","Sap015",15,"Plateau","_","Mistery2","Sap015_Mistery2","","",""
"Sapling","Sap015",15,"Plateau","_","NewGreen","Sap015_NewGreen","","",""
"Sapling","Sap015",15,"Plateau","_","OtherGreenShrub","Sap015_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Sapling","Sap015",15,"Plateau","_","RedAloe","Sap015_RedAloe","Poa sp","AM","grass"
"Sapling","Sap015",15,"Plateau","_","Rosette","Sap015_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap015",15,"Plateau","_","SpikeyCushion","Sap015_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Sapling","Sap015",15,"Plateau","_","SpikeyGreen","Sap015_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Sapling","Sap015",15,"Plateau","_","YellowFlower","Sap015_YellowFlower","Senecio agyreus","AM","flowering plant "
"Control","Con006",6,"Plateau","_","SpikeyRose","Con006_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Pine","Pine011",11,"Plateau","_","Mystery","Pine011_Mystery","","",""
"Sapling","Sap001",1,"Plateau","_","NewGreen","Sap001_NewGreen","","",""
